ID	Text	Count	Additional comments
validation-84	The presentation team use rock climbing techniques to access internal and external parts of each building to illustrate construction techniques and materials and other details not usually visible. The team consists of the architect Dr Jonathan Foyle, the climber Lucy Creamer and camera operator Ian Burton, assisted by a rigging team. Foyle is known for his television presentations of architectural history, which subject he also teaches for Cambridge University's International Division.	3	
validation-85	An accomplished artist and strongly preservation-minded individual, Hall sorted and donated the voluminous archive of family papers that he found in the house, and entertained many notable people of the age including Henry Miller, Lyle Saxon, Cecil B. DeMille, Emily Post, and Walt Disney. At the end of his life, Hall donated the house and garden to the National Trust for Historic Preservation, which has owned and operated it to the present.	6	
validation-86	The manuscript was later found in the collection of Thomas Wilkins (d. 1699), a Welsh clergyman and antiquarian, who may have borrowed it from the Mansels without ever returning it. In 1697 Wilkins was visited by Edward Lhuyd who spent some time copying a manuscript which might well have been the Red Book. In 1701, two years after Wilkin's death, his son Thomas Wilkins the Younger donated the manuscript to Jesus College, Oxford.	4	What
validation-87	Brown was born in Redcar and was educated at Coatham School. Following a period in the RAF, he entered the geology department of Durham University in 1947, graduating with First Class Honours in 1950. The Professor of Geology, Lawrence Wager recognised Brown's abilities, and took him with him as a research student following his move to the Chair in Geology at Oxford University.	2	
validation-88	Jenkins reaction to those comments saw him reach the semi final of the 2010 European Championship Darts, losing narrowly again to Phil Taylor in a classic 11-10, but showing a welcome return to form. Jenkins had a decent 2010 Grand Slam of Darts, beating Tony O'Shea in the 2nd round before succombing to a final leg decider to James Wade. Following his Grand Slam of Darts quarter final defeat to Wade, Jenkins said in an interview that he believed players raise their game when they play him, as an example, Raymond van Barneveld struggled for form during the premier league campaign, but managed to beat Jenkins twice and hit a nine darter aganist him.	5	Not enough evidence to merge the two Wades
validation-89	There, Chenier was aware of, but not exposed to his father's music as a young child, and had not heard the word Zydeco until later in his youth. Instead, Chenier developed tastes in the 1970s soul, funk and jazz music of James Brown, Funkadelic, John Coltrane and Miles Davis. Upon first listening to his father's music, Chenier thought all the songs sounded the same.	5	
validation-90	She eventually realizes that Ribaldi is not the monster he appears to be. She lives with her mother and brother, who exist both inside and outside of the book. Hans (John Huntington) - Ribaldi's butler with a German accent. In the beginning of the film he is seen at one of Bonnie's singing competitions, and it is assumed that he has been sent there by Ribaldi to spy on the singers.	5	Not sure if the first she refers to Bonnie
validation-91	Others involved in the launch were Alice Dowson, daughter of Jim; Robert Magee, from the Woodvale area of Belfast; and Bill Hill, from Tiger's Bay. At the time of the launch, both Frazer and Jim Dowson were awaiting trial on charges related to the flag protests. Although Dowson was registered with the Electoral Commission as the Protestant Coalition's leader, he stated at the launch that the Coalition had no one leader.	6	Jim’s connected?
validation-92	In his debut film as an actor, Aap Kaa Surroor - The Real Luv Story, Reshammiya added a song Tanhaiyaan from Boney Kapoor 's proposed film Milenge Milenge. Initially, Reshammiya had composed the song for Kapoor's film but later decided to use it for his own movie.	2	
validation-93	Attack on Titan is a Japanese manga series written and illustrated by Hajime Isayama. Set in a world where humanity lives inside cities surrounded by enormous walls due to the Titans, gigantic humanoid creatures who devour humans seemingly without reason, the story centers around Eren Yaeger, his foster sister Mikasa Ackerman, and their friend Armin Arlert, whose lives are changed forever after the appearance of a Colossal Titan brings about the destruction of their home town and the death of Eren's mother.	4	
validation-94	Scully attempts a cranial examination, but just as she begins the procedure, the head's eyes and mouth both suddenly open. Scully is unable to continue, even after several attempts. Meanwhile, Mulder goes to Betts' apartment, where he finds the attendant's clothes and the bathtub filled with povidone-iodine.	3	
validation-95	Johann Michael Voltz (October 16, 1784, N*rdlingen - 17 April 1858, N*rdlingen) was a German painter, graphic artist and political cartoonist. Voltz's father was a schoolteacher. Voltz studied with the engraver and art dealer Friedrich Weber in Augsburg. His drawings and graphic prints brought him to the attention of the court painter Schmidt.	3	
validation-96	Drucker is provincial, but fairly intelligent. He earns a modest living, and he sleeps in the back room of the general store. In the Green Acres episode ``Milk Machine'', Mr. Haney and Fred Ziffel ask Drucker for five hundred dollars to invest in a milk making machine. When he tells them he doesn't have the money, Mr. Haney suggests getting a mortgage on the general store.	3	
validation-97	Shalini then decides to remain unmarried for the rest of her life. Her health gradually deteriorates and she is hospitalized. Mr. Verma tells Arun that Seema has cancer and is in the hospital. He goes to the hospital, only to find out that Seema is none other than Shalini. He tells her wife about Shalini and they go to hospital together, but on arrival discover that she has already died.	4	
validation-98	The President reluctantly orders that Zira's pregnancy be terminated and that both apes be sterilized, but will not endorse punishment for the orderly's death until due process has been served. Branton and Dixon help the apes to escape, and find them shelter in a circus run by Se*or Armando (Ricardo Montalb*n), where an ape named Heloise has just given birth. Zira gives birth to a son, whom she names Milo, in honor of their deceased friend.	7	
validation-99	In 1924 Arthur Raymond Hibbert was born in Enderby, Leicestershire, the son of Canon H. V. Hibbert (d. 1980) and his wife Maude, and was educated at Radley College, before he went up to Oriel College at the University of Oxford. He was awarded the degrees of B.A. and later MA. He left Oriel College to join the Army, where a sergeant major referred to Hibbert as Christopher Robin based upon his youthful looks.	4	
validation-100	Their TURKEY MOUNTAIN RECORDS TM Archival Series is now busy re-releasing material on artists of the past whose works have been unavailable until now. TURKEY MOUNTAIN RECORDS TM roster of artists includes: Danny Gatton, Coastal People (featuring Carol Ann Blum), The British Walkers (featuring Roy Buchanan), Bobbie (The kid) Howard with Link Wray and The Ray Men, Rockabilly King Charlie Feathers, and Billy Hancock himself. In 2005, the Washington Area Music Association (WAMA) awarded Hancock a Special Recognition Award for his 40 plus years as a vocalist, musician, songwriter, producer, promoter, and label owner.	8	
